time_s,mission_phase,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
6.689,takeoff,True,TAKEOFF,47.3979712,8.546162599999999,1.3980001211166382,1.15500009059906,0.06533319503068924,-0.8952569365501404,97.11007690429688
6.89,takeoff,True,TAKEOFF,47.3979712,8.5461628,1.559000015258789,1.3160001039505005,0.00048601365415379405,-0.6335130333900452,97.12568664550781
7.091,takeoff,True,TAKEOFF,47.3979711,8.5461631,1.717000126838684,1.474000096321106,-0.0369328036904335,-0.36042338609695435,97.1304702758789
7.292,takeoff,True,TAKEOFF,47.397971,8.5461633,1.8690000772476196,1.627000093460083,-0.07536543905735016,-0.15322092175483704,97.15296173095703
7.493,takeoff,True,TAKEOFF,47.397971,8.5461634,2.0160000324249268,1.7740000486373901,-0.08414626866579056,-0.04957902058959007,97.11483764648438
7.694,takeoff,True,TAKEOFF,47.397971,8.5461636,2.1560001373291016,1.9140000343322754,-0.038016680628061295,-0.04449678957462311,97.0225601196289
7.894,takeoff,True,TAKEOFF,47.3979711,8.5461637,2.2880001068115234,2.0460000038146973,0.059238262474536896,-0.06736168265342712,96.93653869628906
8.095,takeoff,True,TAKEOFF,47.3979711,8.5461637,2.4110000133514404,2.1690001487731934,0.16573628783226013,-0.09723225235939026,96.87903594970703
8.296,takeoff,True,TAKEOFF,47.3979712,8.5461638,2.5220000743865967,2.2790000438690186,0.2328515201807022,-0.1422913670539856,96.85435485839844
8.497,takeoff,True,TAKEOFF,47.3979712,8.5461638,2.5980000495910645,2.3550000190734863,0.2564009130001068,-0.18412911891937256,96.85685729980469
8.698,takeoff,True,HOLD,47.3979712,8.5461638,2.627000093460083,2.384000062942505,0.2451961487531662,-0.21564297378063202,96.85482788085938
8.899,takeoff,True,HOLD,47.3979712,8.5461638,2.6460001468658447,2.4040000438690186,0.19611920416355133,-0.2537946403026581,96.85057067871094
9.1,takeoff,True,HOLD,47.3979712,8.5461638,2.682000160217285,2.440000057220459,0.14892174303531647,-0.2816118896007538,96.84573364257812
9.301,takeoff,True,HOLD,47.3979711,8.5461638,2.7280001640319824,2.4860000610351562,0.09291024506092072,-0.27458274364471436,96.82791900634766
9.502,hover,True,HOLD,47.3979711,8.5461639,2.7750000953674316,2.5330002307891846,0.027123700827360153,-0.2565397024154663,96.80718231201172
9.703,hover,True,HOLD,47.397971,8.5461639,2.818000078201294,2.576000213623047,-0.03451975807547569,-0.22511368989944458,96.79781341552734
9.904,hover,True,HOLD,47.397971,8.546164,2.8560001850128174,2.6130001544952393,-0.0690498799085617,-0.18462295830249786,96.81315612792969
10.105,hover,True,HOLD,47.397971,8.546164,2.890000104904175,2.6470000743865967,-0.05079798400402069,-0.1669120490550995,96.84660339355469
10.305,hover,True,HOLD,47.397971,8.546164,2.9240000247955322,2.681000232696533,0.0028052038978785276,-0.15878000855445862,96.87881469726562
10.506,hover,True,HOLD,47.397971,8.5461641,2.951000213623047,2.7080001831054688,0.061014436185359955,-0.1547590047121048,96.90059661865234
10.707,hover,True,HOLD,47.397971,8.5461641,2.9760000705718994,2.7330000400543213,0.0926489531993866,-0.17018860578536987,96.8839111328125
10.908,hover,True,HOLD,47.3979709,8.546164,2.999000072479248,2.757000207901001,0.061310768127441406,-0.20326051115989685,96.8345718383789
11.109,hover,True,HOLD,47.3979709,8.546164,3.0210001468658447,2.7790000438690186,-0.024563580751419067,-0.24989093840122223,96.78711700439453
11.31,hover,True,HOLD,47.397970799999996,8.546164,3.0410001277923584,2.7980000972747803,-0.09555653482675552,-0.2831057608127594,96.78475952148438
11.511,hover,True,HOLD,47.397970799999996,8.5461639,3.056000232696533,2.813000202178955,-0.10919705778360367,-0.29446136951446533,96.8178482055664
11.711,hover,True,HOLD,47.3979709,8.5461639,3.069000244140625,2.827000141143799,-0.07277411222457886,-0.311221718788147,96.84841918945312
11.912,hover,True,HOLD,47.3979709,8.5461638,3.0810000896453857,2.8390002250671387,0.01228646282106638,-0.3529908359050751,96.85572814941406
12.113,hover,True,HOLD,47.397971,8.5461638,3.0910000801086426,2.8490002155303955,0.10036288946866989,-0.4052901566028595,96.85639953613281
12.314,hover,True,HOLD,47.3979711,8.5461638,3.1010000705718994,2.8580000400543213,0.16471105813980103,-0.40553534030914307,96.86824798583984
12.514,hover,True,HOLD,47.3979711,8.5461638,3.1110000610351562,2.868000030517578,0.20711654424667358,-0.3756766617298126,96.87201690673828
12.715,hover,True,HOLD,47.3979712,8.5461638,3.120000123977661,2.878000020980835,0.23286239802837372,-0.34389856457710266,96.86943054199219
12.916,hover,True,HOLD,47.3979712,8.5461639,3.13100004196167,2.889000177383423,0.25029245018959045,-0.3224833309650421,96.86444854736328
