time_s,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
12.462,False,HOLD,47.397971,8.5461639,0.24900001287460327,0.07200000435113907,0.08190037310123444,-0.28674057126045227,96.8093032836914
12.664,False,HOLD,47.397971,8.5461639,0.24700000882148743,0.07000000029802322,0.07961468398571014,-0.2862637937068939,96.80912017822266
12.864,False,HOLD,47.397971,8.5461638,0.242000013589859,0.06400000303983688,0.07447140663862228,-0.28280937671661377,96.81096649169922
13.065,False,HOLD,47.397971,8.5461638,0.23800000548362732,0.06100000441074371,0.06802664697170258,-0.27603504061698914,96.811279296875
13.266,False,HOLD,47.3979711,8.5461637,0.2370000183582306,0.06000000238418579,0.06697837263345718,-0.27139440178871155,96.80921936035156
13.467,False,HOLD,47.3979711,8.5461636,0.23800000548362732,0.06100000441074371,0.06838510185480118,-0.2710817754268646,96.8050765991211
13.668,False,HOLD,47.3979711,8.5461636,0.24000000953674316,0.06300000101327896,0.07123290002346039,-0.2697507441043854,96.79962921142578
13.869,False,HOLD,47.3979711,8.5461636,0.2410000115633011,0.06300000101327896,0.07318645715713501,-0.2701723277568817,96.79944610595703
14.07,False,HOLD,47.397971,8.5461636,0.242000013589859,0.0650000050663948,0.07443790882825851,-0.27522698044776917,96.80095672607422
14.271,False,HOLD,47.3979711,8.5461636,0.24500000476837158,0.06800000369548798,0.07223605364561081,-0.2792007625102997,96.806396484375
14.473,False,HOLD,47.3979711,8.5461636,0.24800001084804535,0.07100000232458115,0.07189221680164337,-0.2822851240634918,96.8080825805664
14.674,False,HOLD,47.3979711,8.5461636,0.24900001287460327,0.07200000435113907,0.07238175719976425,-0.2806563079357147,96.80984497070312
14.875,False,HOLD,47.397971,8.5461637,0.24800001084804535,0.07100000232458115,0.07766318321228027,-0.2862526774406433,96.80719757080078
15.076,False,HOLD,47.397971,8.5461637,0.24700000882148743,0.0690000057220459,0.08641223609447479,-0.28838014602661133,96.80150604248047
15.277,False,HOLD,47.3979709,8.5461637,0.24400001764297485,0.06700000166893005,0.0877283439040184,-0.2910110652446747,96.79986572265625
15.478,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.0650000050663948,0.08720776438713074,-0.28951090574264526,96.8011474609375
15.679,False,HOLD,47.3979709,8.5461637,0.2410000115633011,0.06400000303983688,0.08665350824594498,-0.2874792814254761,96.80029296875
15.881,False,HOLD,47.3979709,8.5461637,0.2410000115633011,0.06400000303983688,0.0872277095913887,-0.28513216972351074,96.80054473876953
16.081,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.06400000303983688,0.0880441889166832,-0.2841072678565979,96.80306243896484
16.282,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.06400000303983688,0.08843006193637848,-0.287381112575531,96.8041763305664
16.483,False,HOLD,47.3979709,8.5461637,0.2410000115633011,0.06300000101327896,0.08613740652799606,-0.28867486119270325,96.80360412597656
16.685,False,HOLD,47.3979709,8.5461637,0.2410000115633011,0.06300000101327896,0.08338680863380432,-0.29032188653945923,96.80699920654297
16.886,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.0650000050663948,0.08253840357065201,-0.29108598828315735,96.80570983886719
17.087,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.0650000050663948,0.0827656239271164,-0.2922946810722351,96.8045883178711
17.287,False,HOLD,47.3979709,8.5461637,0.242000013589859,0.0650000050663948,0.08748946338891983,-0.2917536795139313,96.80841064453125
17.489,False,HOLD,47.3979709,8.5461637,0.2410000115633011,0.06400000303983688,0.08928675949573517,-0.2868960499763489,96.80769348144531
17.69,False,HOLD,47.3979709,8.5461636,0.23800000548362732,0.06100000441074371,0.0904826745390892,-0.28470152616500854,96.81050109863281
17.89,False,HOLD,47.397971,8.5461636,0.2330000102519989,0.0560000017285347,0.08608358353376389,-0.2850553095340729,96.80946350097656
18.091,False,HOLD,47.397971,8.5461636,0.22800001502037048,0.05000000074505806,0.07928239554166794,-0.28455162048339844,96.80902862548828
18.291,False,HOLD,47.3979711,8.5461636,0.2240000069141388,0.04700000211596489,0.07165492326021194,-0.2896747589111328,96.80917358398438
18.493,False,HOLD,47.3979711,8.5461636,0.2240000069141388,0.046000003814697266,0.06771320849657059,-0.29627594351768494,96.8092269897461
18.694,False,HOLD,47.3979712,8.5461637,0.22500000894069672,0.04700000211596489,0.06405334919691086,-0.30269089341163635,96.81421661376953
18.896,False,HOLD,47.3979712,8.5461638,0.22800001502037048,0.05000000074505806,0.06913044303655624,-0.30489692091941833,96.81822204589844
19.096,False,HOLD,47.3979711,8.5461638,0.2330000102519989,0.0560000017285347,0.0721357986330986,-0.3073346018791199,96.81946563720703
19.297,False,HOLD,47.3979711,8.5461639,0.23800000548362732,0.06000000238418579,0.07236041873693466,-0.3084881007671356,96.82142639160156
19.498,False,HOLD,47.3979711,8.5461639,0.23900000751018524,0.06100000441074371,0.07463576644659042,-0.3067549467086792,96.82331848144531
19.699,False,HOLD,47.3979711,8.5461639,0.23800000548362732,0.06100000441074371,0.0784013494849205,-0.3044950067996979,96.82555389404297
19.9,False,HOLD,47.3979711,8.546164,0.23500001430511475,0.058000002056360245,0.08169052749872208,-0.30585476756095886,96.82894134521484
20.101,False,HOLD,47.397971,8.546164,0.22800001502037048,0.05000000074505806,0.08280840516090393,-0.3053957521915436,96.8337631225586
20.301,False,HOLD,47.397971,8.546164,0.21900001168251038,0.04200000315904617,0.08302224427461624,-0.3028143346309662,96.8311767578125
20.502,False,HOLD,47.397971,8.546164,0.21400001645088196,0.036000002175569534,0.08617192506790161,-0.2945803701877594,96.82857513427734
20.703,False,HOLD,47.397971,8.5461639,0.20900000631809235,0.03200000151991844,0.08828283846378326,-0.288568377494812,96.82625579833984
20.904,False,HOLD,47.3979709,8.5461638,0.20800000429153442,0.03100000135600567,0.08780129998922348,-0.2834954559803009,96.82405090332031
21.104,False,HOLD,47.3979709,8.5461638,0.21000000834465027,0.032999999821186066,0.0867331251502037,-0.2825108766555786,96.82284545898438
21.305,False,HOLD,47.397971,8.5461637,0.21400001645088196,0.03700000047683716,0.08436957001686096,-0.2792385220527649,96.82212829589844
