time,setpoint,altitude,velocity,acceleration,thrust,error
3.82,10,13.8987,-2.06972,-4.43983,8.05525,-3.89872
3.83,10,13.8776,-2.11333,-4.36076,8.17386,-3.87759
3.84,10,13.856,-2.15614,-4.28167,8.29249,-3.85603
3.85,10,13.834,-2.19817,-4.20259,8.41111,-3.83405
3.86,10,13.8117,-2.2394,-4.12353,8.5297,-3.81165
3.87,10,13.7889,-2.27985,-4.04451,8.64823,-3.78886
3.88,10,13.7657,-2.3195,-3.96554,8.7667,-3.76566
3.89,10,13.7421,-2.35837,-3.88662,8.88507,-3.74208
3.9,10,13.7181,-2.39645,-3.80778,9.00333,-3.71811
3.91,10,13.6938,-2.43374,-3.72903,9.12145,-3.69378
3.92,10,13.6691,-2.47024,-3.65038,9.23942,-3.66907
3.93,10,13.644,-2.50596,-3.57185,9.35722,-3.64401
3.94,10,13.6186,-2.5409,-3.49345,9.47483,-3.6186
3.95,10,13.5929,-2.57505,-3.41518,9.59223,-3.59285
3.96,10,13.5668,-2.60842,-3.33707,9.7094,-3.56677
3.97,10,13.5404,-2.64101,-3.25912,9.82631,-3.54036
3.98,10,13.5136,-2.67282,-3.18136,9.94297,-3.51363
3.99,10,13.4866,-2.70386,-3.10378,10.0593,-3.48659
4,10,13.4593,-2.73413,-3.0264,10.1754,-3.45925
4.01,10,13.4316,-2.76362,-2.94924,10.2911,-3.43162
4.02,10,13.4037,-2.79234,-2.8723,10.4065,-3.40369
4.03,10,13.3755,-2.8203,-2.7956,10.5216,-3.37549
4.04,10,13.347,-2.84749,-2.71915,10.6363,-3.34701
4.05,10,13.3183,-2.87392,-2.64296,10.7506,-3.31827
4.06,10,13.2893,-2.89959,-2.56704,10.8644,-3.28928
4.07,10,13.26,-2.9245,-2.4914,10.9779,-3.26003
4.08,10,13.2305,-2.94866,-2.41605,11.0909,-3.23055
4.09,10,13.2008,-2.97207,-2.34101,11.2035,-3.20083
4.1,10,13.1709,-2.99474,-2.26628,11.3156,-3.17088
4.11,10,13.1407,-3.01665,-2.19187,11.4272,-3.14071
4.12,10,13.1103,-3.03783,-2.1178,11.5383,-3.11033
4.13,10,13.0798,-3.05827,-2.04407,11.6489,-3.07975
4.14,10,13.049,-3.07798,-1.9707,11.759,-3.04897
4.15,10,13.018,-3.09696,-1.89768,11.8685,-3.018
4.16,10,12.9869,-3.11521,-1.82504,11.9774,-2.98685
4.17,10,12.9555,-3.13273,-1.75279,12.0858,-2.95552
4.18,10,12.924,-3.14954,-1.68092,12.1936,-2.92403
4.19,10,12.8924,-3.16564,-1.60945,12.3008,-2.89237
4.2,10,12.8606,-3.18102,-1.5384,12.4074,-2.86056
4.21,10,12.8286,-3.1957,-1.46776,12.5134,-2.8286
4.22,10,12.7965,-3.20968,-1.39755,12.6187,-2.79651
4.23,10,12.7643,-3.22295,-1.32777,12.7233,-2.76428
4.24,10,12.7319,-3.23554,-1.25843,12.8274,-2.73192
4.25,10,12.6994,-3.24743,-1.18955,12.9307,-2.69945
4.26,10,12.6669,-3.25864,-1.12112,13.0333,-2.66686
4.27,10,12.6342,-3.26918,-1.05316,13.1353,-2.63417
4.28,10,12.6014,-3.27903,-0.98568,13.2365,-2.60138
4.29,10,12.5685,-3.28822,-0.918676,13.337,-2.5685
4.3,10,12.5355,-3.29674,-0.852162,13.4368,-2.53553
4.31,10,12.5025,-3.3046,-0.786143,13.5358,-2.50248
4.32,10,12.4694,-3.31181,-0.720627,13.6341,-2.46937
