time_sec,true_angle_deg,accel_angle_deg,gyro_angle_deg,complementary_angle_deg,measured_gyro_rate_deg_s
2.420,9.051422,5.567241,10.264106,9.142682,-3.819247
2.430,9.021835,11.378319,10.229325,9.153309,-3.478137
2.440,8.993332,10.224074,10.224397,9.169895,-0.492849
2.450,8.965910,7.414613,10.193214,9.104230,-3.118311
2.460,8.939564,4.984147,10.164630,8.993816,-2.858383
2.470,8.914291,7.052732,10.160584,8.951030,-0.404532
2.480,8.890083,8.753322,10.166147,8.952527,0.556282
2.490,8.866935,11.781115,10.140153,8.983625,-2.599405
2.500,8.844840,6.253385,10.121634,8.910872,-1.851875
2.510,8.823790,8.612490,10.109835,8.893340,-1.179970
2.520,8.803776,10.491637,10.110164,8.925629,0.032919
2.530,8.784789,2.831621,10.089791,8.783783,-2.037306
2.540,8.766819,11.351285,10.076362,8.821973,-1.342850
2.550,8.749856,5.793730,10.072116,8.757247,-0.424661
2.560,8.733889,9.563877,10.066118,8.767501,-0.599785
2.570,8.718904,9.335612,10.054610,8.767586,-1.150823
2.580,8.704891,11.416357,10.046004,8.812127,-0.860557
2.590,8.691834,10.069145,10.028420,8.820036,-1.758383
2.600,8.679721,2.736495,10.020866,8.690962,-0.755407
2.610,8.668537,6.706589,10.014007,8.644553,-0.685880
2.620,8.658266,9.003779,10.012042,8.649812,-0.196500
2.630,8.648892,8.161443,10.004666,8.632816,-0.737592
2.640,8.640399,9.834426,10.006378,8.658525,0.171114
2.650,8.632770,10.606186,10.013273,8.704235,0.689515
2.660,8.625986,10.147116,10.014146,8.733949,0.087329
2.670,8.620030,8.084342,10.017408,8.724153,0.326155
2.680,8.614881,3.999039,10.019079,8.631288,0.167103
2.690,8.610521,7.471818,10.021103,8.610083,0.202477
2.700,8.606929,9.647850,10.018113,8.627908,-0.299059
2.710,8.604085,5.877967,10.024163,8.578838,0.605048
2.720,8.601967,10.180153,10.027618,8.614251,0.345520
2.730,8.600552,10.871535,10.049290,8.680635,2.167159
2.740,8.599819,8.916986,10.067473,8.703181,1.818305
2.750,8.599744,0.940295,10.076803,8.557066,0.932964
2.760,8.600305,5.405084,10.077564,8.494773,0.076125
2.770,8.601476,13.316949,10.076129,8.589810,-0.143507
2.780,8.603233,7.236889,10.093696,8.579967,1.756704
2.790,8.605552,3.645194,10.104384,8.491746,1.068825
2.800,8.608406,11.696524,10.117334,8.568533,1.294997
2.810,8.611769,8.645158,10.112983,8.565801,-0.435156
2.820,8.615616,11.377967,10.130477,8.639188,1.749424
2.830,8.619919,9.312315,10.144629,8.666520,1.415255
2.840,8.624650,9.771048,10.146678,8.690619,0.204864
2.850,8.629783,9.537306,10.154225,8.714948,0.754679
